model_name,data_name,data_dir,normalise_type,processing_type,cuda_device,checkpoint_dir,pretrained,batch_size,num_workers,opt,lr,momentum,weight_decay,lr_scheduler,gamma,steps,max_epoch,print_step,best_acc,best_epoch,last_acc,macs,params,days,seconds,microseconds,save_dir
cnn_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.9885057471264368,6,0.9655172413793104,17744704.0,181642.0,0,6,708904,./checkpoint/cnn_1d_CWRU_0609-230852
cnn_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.9961685823754789,9,0.0,17744704.0,181642.0,0,6,668375,./checkpoint/cnn_1d_CWRU_0609-230859
cnn_1d,CWRU,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.9923371647509579,8,0.9885057471264368,17744704.0,181642.0,0,6,699491,./checkpoint/cnn_1d_CWRU_0609-230906
cnn_2d,CWRUCWT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.9101123595505618,9,0.0,2365201152.0,2328298.0,0,90,549260,./checkpoint/cnn_2d_CWRUCWT_0609-230914
cnn_2d,CWRUSlice,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.7318007662835249,9,0.0,2702241792.0,2328298.0,0,93,846611,./checkpoint/cnn_2d_CWRUSlice_0609-231045
cnn_1d,CWRUFFT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.9961685823754789,7,0.9961685823754789,8749888.0,181642.0,0,6,438098,./checkpoint/cnn_1d_CWRUFFT_0609-231219
cnn_2d,CWRUSTFT,/vann/data/dlb/cwru,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.9923371647509579,7,0.9693486590038314,2879186112.0,2328298.0,0,100,448315,./checkpoint/cnn_2d_CWRUSTFT_0609-231226
cnn_1d,PU,/vann/data/dlb/pu,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.7711213517665131,8,0.6897081413210445,17744896.0,181837.0,0,14,90276,./checkpoint/cnn_1d_PU_0610-003755
cnn_2d,PUCWT,/vann/data/dlb/pu,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.34632683658170915,7,0.34632683658170915,2365201536.0,2328685.0,0,225,703863,./checkpoint/cnn_2d_PUCWT_0610-003809
cnn_2d,PUSlice,/vann/data/dlb/pu,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.07680491551459294,0,0.07680491551459294,2702242176.0,2328685.0,0,228,800758,./checkpoint/cnn_2d_PUSlice_0610-004156
cnn_1d,PUFFT,/vann/data/dlb/pu,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.8632872503840245,9,0.0,8750080.0,181837.0,0,13,580720,./checkpoint/cnn_1d_PUFFT_0610-004545
cnn_2d,PUSTFT,/vann/data/dlb/pu,mean-std,R_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.6067588325652842,5,0.5898617511520737,2879186496.0,2328685.0,0,248,147073,./checkpoint/cnn_2d_PUSTFT_0610-004600
cnn_1d,PU,/vann/data/dlb/pu,mean-std,B_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.99,3,0.965,17744896.0,181837.0,0,5,575769,./checkpoint/cnn_1d_PU_0610-030741
cnn_2d,PUCWT,/vann/data/dlb/pu,mean-std,B_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.9853658536585366,9,0.0,2365201536.0,2328685.0,0,69,824703,./checkpoint/cnn_2d_PUCWT_0610-030747
cnn_2d,PUSlice,/vann/data/dlb/pu,mean-std,B_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.985,9,0.0,2702242176.0,2328685.0,0,72,214290,./checkpoint/cnn_2d_PUSlice_0610-030858
cnn_1d,PUFFT,/vann/data/dlb/pu,mean-std,B_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.995,1,0.96,8750080.0,181837.0,0,5,355814,./checkpoint/cnn_1d_PUFFT_0610-031011
cnn_2d,PUSTFT,/vann/data/dlb/pu,mean-std,B_A,0,./checkpoint,True,16,0,adam,0.001,0.9,1e-05,fix,0.1,9,10,100,0.99,9,0.0,2879186496.0,2328685.0,0,77,273569,./checkpoint/cnn_2d_PUSTFT_0610-031017
